GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO
AAI0000TNCA,12.5014,-70.0152,18.3,,REINA BEATRIX INTL,,,,
ACL000BARA9,17.5910,-61.8210,5.0,TX,BARBUDA,,,,
ACM00078861,17.1167,-61.7833,10.0,,COOLIDGE FIELD   ANTIGUA (AUX.,,,,
ACU55-00189,18.6000,-63.4700,10.0,,SOMBRERO,,,,
ACU55-00190,18.6000,-63.4700,12.0,,SOMBRERO,,,,
ACU55-00191,18.6000,-63.4700,14.0,,SOMBRERO,,,,
ACU55-00192,18.6000,-63.4700,16.0,,SOMBRERO,,,,
ACU55-00193,18.6000,-63.4700,9.0,,SOMBRERO,,,,
ACW00011647,17.1333,-61.7833,19.2,,ST JOHNS,,,,
AEI0000OMAA,24.4330,54.6511,26.8,,ABU DHABI INTL,,,,OMAA
AEI0000OMAB,23.6167,53.3833,94.0,,BUHASA,,,,OMAB
AEI0000OMAD,24.4283,54.4581,4.9,,BATEEN,,,,OMAD
AEI0000OMAH,24.0740,52.4636,15.2,,AL HAMRA AUX,,,,OMAH
AEI0000OMAJ,24.1874,52.6140,13.1,,JEBEL DHANA,,,,OMAJ
AEI0000OMAL,24.2617,55.6092,264.9,,AL AIN INTL,,,,OMAL
AEI0000OMAM,24.2482,54.5477,23.2,,AL DHAFRA,,,,OMAM
AEI0000OMAS,25.1462,52.8737,3.7,,DAS ISLAND,,,,OMAS
AEI0000OMAW,24.5279,54.9733,27.1,,SWEIHAN,,,,OMAW
AEI0000OMAZ,24.8615,53.0778,4.3,,ZIRKU,,,,OMAZ
